Node,Triangle_Count
57,2
59,2
61,2
63,2
65,2
67,2
69,2
71,2
73,2
75,2
77,2
79,2
81,2
83,2
85,2
87,2
89,2
91,2
93,2
95,2
97,2
99,2
53,1
55,1
72,1
74,1
76,1
78,1
80,1
82,1
84,1
86,1
88,1
90,1
92,1
94,1
96,1
98,1
100,1
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
54,0
56,0
58,0
60,0
62,0
64,0
66,0
68,0
70,0
